id	filename	md5	size	state
264b54f9-5d9c-4fa0-909b-57f0b9050cae	264b54f9-5d9c-4fa0-909b-57f0b9050cae/0eef70e6-29d1-4edd-9226-c777676fa0e8.wxs.aliquot_ensemble_masked.maf.gz	9d544d014a031e781a6a76bcfd19c7f3	594131	validated
27f48a5f-794a-428f-8a02-8ae4d8aa078f	27f48a5f-794a-428f-8a02-8ae4d8aa078f/323096f8-2112-4ed7-954f-d72e8e5e0c41.wxs.aliquot_ensemble_masked.maf.gz	267075e73af4b491c9779990f2750374	47319	validated
27f6a682-3cb1-45d7-9868-fa7885e4a7dd	27f6a682-3cb1-45d7-9868-fa7885e4a7dd/1fb42a84-f414-4d4f-88d1-180e0dfd9fdf.wxs.aliquot_ensemble_masked.maf.gz	8c2053005c5ed4acf6ae5e0ea283c0ae	61136	validated
2a3d5ea1-61a0-479b-a2b7-3ac57f118108	2a3d5ea1-61a0-479b-a2b7-3ac57f118108/04103b6d-d9a1-4428-a5cb-bfacba073226.wxs.aliquot_ensemble_masked.maf.gz	e666c63311afb5fe3030656a99c8786e	59941	validated
2a97110c-5fff-4ca5-a034-cf4674a1218e	2a97110c-5fff-4ca5-a034-cf4674a1218e/44f8b6e3-3673-4586-bed2-9a1cb1f594f9.wxs.aliquot_ensemble_masked.maf.gz	bd669a43c31ad2336d5096447305ed09	25248	validated
2aef4f8a-c8ef-491d-8fb4-385730517b78	2aef4f8a-c8ef-491d-8fb4-385730517b78/61540000-a4e5-4478-ae9e-cc5af1893bd5.wxs.aliquot_ensemble_masked.maf.gz	fdfaf8fbf1c25ce21fabb6ef55e307b6	63868	validated
2b06bb2b-7051-4508-bdca-3ff046380296	2b06bb2b-7051-4508-bdca-3ff046380296/55d1cc86-01b3-46d9-8dda-ba9cbc396f2f.wxs.aliquot_ensemble_masked.maf.gz	f03a963f1d9fbef6318212486ee3ddf3	17796	validated
2b12f3f7-f3e2-4d43-9645-997cbbea9c30	2b12f3f7-f3e2-4d43-9645-997cbbea9c30/50b9990a-3778-4e44-ad71-abea8467f0e5.wxs.aliquot_ensemble_masked.maf.gz	211d524da99d010cd49a8376c259ffef	58842	validated
2b72cf80-9341-4643-ae65-06e8242c27a2	2b72cf80-9341-4643-ae65-06e8242c27a2/6ab22889-017f-46aa-a0b6-234f4cf72f3d.wxs.aliquot_ensemble_masked.maf.gz	a81d51dec5642b1bf72142fe50533715	29558	validated
2bc2eb4e-9323-40c6-a7ae-cf0fff5164df	2bc2eb4e-9323-40c6-a7ae-cf0fff5164df/3ef55a19-d71b-4db5-b74a-6700f197e07c.wxs.aliquot_ensemble_masked.maf.gz	037ed9c727d7f303ea7c8f4123e14a93	50112	validated
